               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.041942,            0.018312,            0.020132,             0.64595,             0.82542,             0.83674,              0.5108,             0.03562,           0.0096198,            0.018994,           0.0095248,           0.0095248,           0.0095248
                  50,            0.040584,            0.018417,            0.019168,             0.63719,             0.82565,             0.82772,             0.50007,            0.036128,           0.0099403,            0.013435,           0.0095149,           0.0095149,           0.0095149
                  51,            0.041406,            0.018048,            0.020594,              0.6764,             0.73701,             0.80231,             0.48788,            0.036949,            0.010916,            0.023342,            0.009505,            0.009505,            0.009505
                  52,            0.039337,            0.017332,            0.019112,              0.6447,             0.73252,             0.76502,             0.44282,             0.03657,           0.0098227,            0.021293,           0.0094951,           0.0094951,           0.0094951
                  53,            0.040518,            0.016841,            0.018735,             0.71618,             0.79206,             0.82513,             0.45713,            0.039777,            0.010292,            0.015528,           0.0094852,           0.0094852,           0.0094852
                  54,            0.039735,            0.018244,            0.017506,               0.728,             0.82282,             0.83511,             0.49419,            0.043219,           0.0091817,            0.017269,           0.0094753,           0.0094753,           0.0094753
                  55,            0.039866,             0.01755,            0.018584,             0.75567,             0.87419,             0.90588,             0.54669,            0.035776,           0.0096175,            0.020095,           0.0094654,           0.0094654,           0.0094654
                  56,            0.041203,            0.016788,            0.017485,             0.72735,             0.88584,             0.86508,              0.5197,            0.034812,           0.0095672,             0.01752,           0.0094555,           0.0094555,           0.0094555
                  57,            0.040223,            0.017565,            0.018676,             0.74396,             0.85951,             0.86542,             0.56831,            0.031027,           0.0093211,            0.014399,           0.0094456,           0.0094456,           0.0094456
                  58,            0.040416,            0.016539,              0.0151,             0.80042,              0.8589,             0.87734,             0.54366,            0.036256,           0.0094627,            0.011898,           0.0094357,           0.0094357,           0.0094357
                  59,            0.039534,            0.017757,             0.01693,              0.7683,             0.83163,             0.87117,             0.54747,             0.03249,           0.0091338,            0.011175,           0.0094258,           0.0094258,           0.0094258
                  60,            0.039378,            0.016463,            0.015673,             0.89681,             0.84771,             0.89869,             0.55501,            0.033873,           0.0091626,            0.013766,           0.0094159,           0.0094159,           0.0094159
                  61,            0.038583,            0.016352,            0.015985,             0.78773,             0.76754,              0.8542,             0.47927,             0.04031,            0.008924,            0.010332,            0.009406,            0.009406,            0.009406
                  62,            0.041881,            0.017328,            0.016109,             0.72941,             0.83397,             0.86222,             0.53224,            0.034888,           0.0089407,            0.011747,           0.0093961,           0.0093961,           0.0093961
                  63,            0.039015,            0.017257,            0.016142,             0.79952,             0.86941,             0.91158,             0.52641,            0.036409,           0.0091831,           0.0094969,           0.0093862,           0.0093862,           0.0093862
                  64,            0.039669,            0.017161,            0.016077,             0.80851,             0.79176,             0.83852,             0.51387,            0.036207,           0.0090423,            0.021061,           0.0093763,           0.0093763,           0.0093763
                  65,            0.037781,            0.016438,            0.014774,             0.82973,             0.86989,             0.91175,             0.59068,            0.032929,            0.008866,            0.010235,           0.0093664,           0.0093664,           0.0093664
                  66,            0.039461,            0.016511,            0.014595,             0.88028,             0.86949,             0.93791,             0.59425,            0.032194,           0.0085855,            0.010741,           0.0093565,           0.0093565,           0.0093565
                  67,            0.037935,            0.017133,            0.014028,             0.89332,              0.8974,              0.9334,             0.59312,            0.032565,           0.0085575,            0.010269,           0.0093466,           0.0093466,           0.0093466
                  68,            0.039598,            0.016802,            0.013564,             0.85213,             0.82308,             0.85676,             0.56121,            0.034891,            0.009108,            0.010897,           0.0093367,           0.0093367,           0.0093367
                  69,            0.038603,            0.016576,             0.01358,             0.77814,             0.86122,             0.88541,             0.54875,              0.0328,           0.0083038,            0.013924,           0.0093268,           0.0093268,           0.0093268
                  70,            0.038821,            0.016161,            0.012506,             0.86031,             0.85401,             0.89066,             0.50432,            0.035061,           0.0084398,            0.018522,           0.0093169,           0.0093169,           0.0093169
                  71,            0.037632,            0.016237,            0.013019,             0.80841,             0.85316,              0.9129,             0.56834,            0.034161,           0.0090939,            0.011859,            0.009307,            0.009307,            0.009307
                  72,            0.037728,            0.016311,            0.011092,             0.82001,             0.82831,             0.88799,             0.56746,            0.033646,           0.0088447,            0.013277,           0.0092971,           0.0092971,           0.0092971
                  73,            0.036751,            0.016019,             0.01164,             0.83428,             0.85638,             0.88848,             0.56455,            0.035068,           0.0085626,           0.0085087,           0.0092872,           0.0092872,           0.0092872
                  74,            0.038005,            0.015761,            0.012141,             0.81258,             0.80562,             0.88951,             0.56998,             0.03272,            0.008301,           0.0094355,           0.0092773,           0.0092773,           0.0092773
                  75,               0.039,            0.016268,            0.010966,             0.81642,              0.8446,             0.89544,             0.59254,            0.032452,            0.010232,           0.0084084,           0.0092674,           0.0092674,           0.0092674
                  76,            0.038338,            0.016579,             0.01186,             0.83758,             0.86786,             0.91018,             0.57355,            0.032791,           0.0089616,             0.00887,           0.0092575,           0.0092575,           0.0092575
                  77,            0.036169,            0.015919,            0.013279,             0.84697,             0.88663,             0.91627,             0.60785,            0.031021,           0.0086687,            0.012549,           0.0092476,           0.0092476,           0.0092476
                  78,            0.037307,            0.016426,            0.011671,              0.8939,             0.87112,             0.89637,             0.60786,            0.034537,           0.0085623,            0.010638,           0.0092377,           0.0092377,           0.0092377
                  79,            0.036996,            0.015436,            0.012403,             0.91268,              0.8784,             0.90097,             0.59214,            0.033622,           0.0081515,            0.012995,           0.0092278,           0.0092278,           0.0092278
                  80,            0.037959,            0.016599,            0.011515,             0.88793,             0.85918,             0.91028,             0.61175,            0.031211,           0.0084587,           0.0075167,           0.0092179,           0.0092179,           0.0092179
                  81,            0.036226,            0.014982,             0.01155,             0.90874,               0.833,             0.90928,             0.56388,            0.036997,           0.0083791,            0.010632,            0.009208,            0.009208,            0.009208
                  82,            0.036469,            0.015805,           0.0092144,             0.87242,             0.89094,             0.94109,             0.62075,            0.030337,            0.008698,           0.0097135,           0.0091981,           0.0091981,           0.0091981
                  83,            0.035387,            0.015864,            0.011979,             0.85581,             0.83004,             0.90912,             0.55314,            0.033573,           0.0089631,            0.013083,           0.0091882,           0.0091882,           0.0091882
                  84,            0.036235,            0.015728,            0.010677,             0.92081,             0.83261,             0.91765,             0.61777,            0.031189,           0.0083501,           0.0078336,           0.0091783,           0.0091783,           0.0091783
                  85,            0.035036,              0.0156,            0.010613,             0.90145,             0.84117,             0.88799,             0.57403,            0.031938,           0.0084607,           0.0080312,           0.0091684,           0.0091684,           0.0091684
                  86,            0.037015,            0.015795,             0.01071,             0.83862,             0.78459,             0.87037,             0.53683,            0.033604,           0.0086546,           0.0088764,           0.0091585,           0.0091585,           0.0091585
                  87,            0.036458,            0.015161,            0.011482,             0.90846,             0.78732,             0.88564,             0.55915,            0.033707,           0.0085181,           0.0095423,           0.0091486,           0.0091486,           0.0091486
                  88,            0.036359,             0.01585,            0.010524,             0.85454,              0.8593,             0.93089,             0.61127,            0.030653,           0.0082338,           0.0043906,           0.0091387,           0.0091387,           0.0091387
                  89,            0.036378,            0.015342,            0.010203,             0.82468,              0.9142,             0.90033,             0.61205,            0.031865,            0.008136,           0.0039996,           0.0091288,           0.0091288,           0.0091288
                  90,            0.035231,            0.015064,            0.008824,             0.81135,             0.86861,             0.91072,              0.5967,            0.031264,           0.0082529,            0.006611,           0.0091189,           0.0091189,           0.0091189
                  91,            0.036385,            0.016211,           0.0090013,              0.8963,             0.83528,             0.89737,             0.60269,             0.03358,           0.0086092,           0.0085963,            0.009109,            0.009109,            0.009109
                  92,            0.035394,            0.014918,           0.0089562,             0.85658,             0.85218,              0.8945,             0.61799,            0.030584,           0.0078343,            0.007646,           0.0090991,           0.0090991,           0.0090991
                  93,            0.034407,            0.015904,           0.0093533,             0.91275,             0.85635,             0.89902,             0.63572,            0.029905,            0.008202,            0.007583,           0.0090892,           0.0090892,           0.0090892
                  94,            0.034443,            0.015662,           0.0098789,             0.88017,             0.86633,             0.88957,             0.58915,            0.031468,           0.0080924,           0.0081227,           0.0090793,           0.0090793,           0.0090793
                  95,            0.035582,            0.015378,           0.0092357,             0.88587,             0.82328,             0.91554,             0.54913,            0.035888,           0.0083983,           0.0067869,           0.0090694,           0.0090694,           0.0090694
                  96,            0.034458,            0.015109,           0.0089424,             0.89167,             0.88317,             0.90856,             0.56555,            0.032993,           0.0077723,           0.0071243,           0.0090595,           0.0090595,           0.0090595
                  97,            0.034579,            0.015455,           0.0098731,             0.84538,             0.84091,             0.88507,             0.54397,             0.03351,           0.0085252,           0.0080713,           0.0090496,           0.0090496,           0.0090496
                  98,            0.033674,            0.014903,           0.0094557,             0.89746,              0.8629,             0.90941,             0.60129,            0.030466,            0.008037,           0.0056825,           0.0090397,           0.0090397,           0.0090397
                  99,            0.033508,            0.014758,            0.010058,             0.91973,             0.86204,             0.91469,             0.62634,            0.029604,            0.007774,           0.0042194,           0.0090298,           0.0090298,           0.0090298
                 100,            0.034214,            0.015613,           0.0090309,             0.89068,              0.8854,             0.89372,               0.612,            0.031212,           0.0078202,           0.0089363,           0.0090199,           0.0090199,           0.0090199
                 101,            0.034293,            0.015109,           0.0083396,             0.87906,              0.8753,             0.91097,             0.61046,            0.031827,           0.0079922,           0.0052954,             0.00901,             0.00901,             0.00901
                 102,            0.035563,            0.014704,            0.010186,             0.92295,             0.88667,             0.93058,             0.63235,            0.030935,           0.0077254,           0.0038257,           0.0090001,           0.0090001,           0.0090001
                 103,            0.034922,            0.014786,            0.010137,             0.91881,             0.93466,             0.94836,              0.6514,            0.032967,           0.0080344,           0.0050897,           0.0089902,           0.0089902,           0.0089902
                 104,            0.033591,            0.015256,            0.009237,              0.8725,             0.87147,             0.90774,             0.59884,            0.034148,            0.007882,           0.0025102,           0.0089803,           0.0089803,           0.0089803
                 105,            0.034664,            0.015464,           0.0098023,             0.90889,             0.86584,             0.90725,             0.62737,            0.031689,           0.0080666,           0.0037861,           0.0089704,           0.0089704,           0.0089704
                 106,            0.032672,            0.015639,           0.0085625,             0.92642,             0.80841,             0.88325,             0.58147,             0.03342,           0.0079884,           0.0052553,           0.0089605,           0.0089605,           0.0089605
                 107,            0.034368,            0.015372,           0.0090184,             0.87928,             0.86023,             0.89832,             0.60769,            0.034775,           0.0080936,           0.0039307,           0.0089506,           0.0089506,           0.0089506
                 108,            0.033317,            0.014183,           0.0073674,             0.90067,             0.89722,              0.9372,             0.58857,            0.033063,           0.0076379,           0.0046158,           0.0089407,           0.0089407,           0.0089407
                 109,            0.034107,            0.014483,           0.0091042,             0.94731,             0.88126,             0.94634,             0.65775,            0.029842,           0.0071395,            0.006032,           0.0089308,           0.0089308,           0.0089308
                 110,             0.03323,            0.014498,           0.0077038,             0.90288,             0.86435,             0.91733,             0.61456,            0.031657,           0.0076388,            0.010637,           0.0089209,           0.0089209,           0.0089209
                 111,            0.032588,            0.013909,           0.0083732,              0.9387,             0.87814,             0.92081,             0.63619,            0.033363,           0.0075939,           0.0028893,            0.008911,            0.008911,            0.008911
                 112,            0.033668,            0.014313,            0.007695,             0.92253,             0.88076,             0.92128,             0.63756,             0.03273,           0.0075104,           0.0052078,           0.0089011,           0.0089011,           0.0089011
                 113,            0.034087,            0.014872,           0.0092656,             0.87366,             0.86409,             0.90674,             0.65844,            0.030223,           0.0078425,           0.0052608,           0.0088912,           0.0088912,           0.0088912
                 114,            0.033367,             0.01418,           0.0075938,             0.90201,             0.88468,             0.90214,             0.61132,            0.031756,           0.0079189,           0.0048396,           0.0088813,           0.0088813,           0.0088813
                 115,             0.03672,             0.01479,           0.0076496,             0.88388,             0.91157,             0.93541,             0.63115,            0.031997,           0.0083526,           0.0038148,           0.0088714,           0.0088714,           0.0088714
                 116,            0.034899,            0.014462,           0.0085476,             0.87107,             0.91316,             0.93543,             0.62853,            0.030275,           0.0077717,           0.0046612,           0.0088615,           0.0088615,           0.0088615
                 117,            0.033732,            0.014919,           0.0086437,             0.89621,             0.92293,             0.94528,             0.66069,             0.02997,           0.0076711,           0.0077605,           0.0088516,           0.0088516,           0.0088516
                 118,            0.032836,            0.015065,           0.0073012,             0.91092,             0.93263,             0.94241,              0.6553,            0.030205,           0.0078461,           0.0054452,           0.0088417,           0.0088417,           0.0088417
                 119,            0.033317,            0.014804,           0.0080454,              0.9217,             0.86084,             0.91994,             0.61461,            0.030173,           0.0076974,           0.0073887,           0.0088318,           0.0088318,           0.0088318
                 120,            0.031945,            0.014137,           0.0085674,             0.90294,             0.88232,             0.93126,              0.6132,            0.031149,           0.0077695,           0.0039777,           0.0088219,           0.0088219,           0.0088219
                 121,            0.032238,            0.014325,           0.0079408,             0.93877,             0.86863,             0.93822,              0.6422,            0.031538,           0.0078327,           0.0043456,            0.008812,            0.008812,            0.008812
                 122,            0.033066,            0.014607,           0.0077248,             0.92376,             0.87855,              0.9203,             0.61823,            0.031241,           0.0078317,           0.0042381,           0.0088021,           0.0088021,           0.0088021
                 123,            0.032816,            0.014551,           0.0079718,             0.89569,              0.8897,             0.91503,             0.64809,            0.027808,           0.0074361,           0.0029036,           0.0087922,           0.0087922,           0.0087922
                 124,            0.031861,            0.014574,           0.0083127,             0.93085,             0.90759,             0.92651,             0.65086,             0.02889,           0.0072122,           0.0045926,           0.0087823,           0.0087823,           0.0087823
                 125,            0.032496,            0.014012,           0.0081906,             0.89925,             0.89385,             0.91351,             0.64955,            0.031359,           0.0074963,           0.0061367,           0.0087724,           0.0087724,           0.0087724
                 126,            0.032661,            0.014663,           0.0081812,             0.92423,             0.89884,             0.92123,             0.65897,            0.031132,           0.0079713,            0.004655,           0.0087625,           0.0087625,           0.0087625
                 127,             0.03223,            0.014705,           0.0065828,             0.87714,             0.87423,             0.93898,             0.64353,            0.031812,           0.0077899,           0.0072864,           0.0087526,           0.0087526,           0.0087526
                 128,            0.032594,             0.01461,           0.0093269,             0.86254,             0.93111,             0.93935,              0.6221,            0.031923,           0.0076022,           0.0044812,           0.0087427,           0.0087427,           0.0087427
                 129,            0.032078,            0.014068,           0.0086824,             0.93874,             0.88115,             0.93365,             0.61417,             0.03207,            0.007401,           0.0037194,           0.0087328,           0.0087328,           0.0087328
                 130,            0.032998,            0.014489,           0.0081516,             0.95351,             0.90097,             0.93827,             0.62828,            0.030363,           0.0077443,           0.0040321,           0.0087229,           0.0087229,           0.0087229
                 131,            0.032223,            0.013993,           0.0070608,             0.89688,             0.83854,             0.89811,             0.63793,            0.028693,           0.0076457,           0.0047206,            0.008713,            0.008713,            0.008713
                 132,            0.031859,            0.014145,           0.0068414,             0.91795,             0.78019,             0.88767,             0.63355,            0.030494,           0.0078761,            0.012699,           0.0087031,           0.0087031,           0.0087031
                 133,            0.032164,            0.013684,           0.0070495,             0.93897,             0.93764,             0.94827,             0.67483,            0.029919,             0.00757,           0.0052183,           0.0086932,           0.0086932,           0.0086932
                 134,            0.032455,            0.014132,           0.0074888,             0.92302,             0.90101,             0.93251,              0.6313,            0.032177,           0.0073412,           0.0028016,           0.0086833,           0.0086833,           0.0086833
                 135,             0.03153,            0.014451,           0.0076555,             0.92153,             0.87836,             0.93747,             0.67204,            0.029757,           0.0071049,           0.0035684,           0.0086734,           0.0086734,           0.0086734
                 136,            0.030645,             0.01423,           0.0075174,             0.89822,             0.89173,             0.94758,             0.63157,             0.02988,            0.007841,           0.0057553,           0.0086635,           0.0086635,           0.0086635
                 137,            0.031176,            0.013721,           0.0069109,             0.91849,             0.89935,             0.91621,             0.65789,            0.029934,           0.0076033,           0.0030299,           0.0086536,           0.0086536,           0.0086536
                 138,            0.031474,            0.014404,           0.0066225,             0.93335,             0.89154,             0.93088,              0.6625,            0.030919,           0.0075661,            0.004193,           0.0086437,           0.0086437,           0.0086437
                 139,            0.031535,            0.014577,           0.0069881,             0.87019,             0.94303,             0.93659,             0.65744,             0.02908,           0.0075124,            0.004756,           0.0086338,           0.0086338,           0.0086338
                 140,            0.031098,            0.013997,           0.0077273,             0.91799,             0.86954,             0.91986,             0.62324,            0.028855,           0.0072851,           0.0040618,           0.0086239,           0.0086239,           0.0086239
                 141,            0.030817,            0.014249,           0.0060929,             0.91526,              0.9122,              0.9452,             0.62456,            0.031188,           0.0075694,           0.0040942,            0.008614,            0.008614,            0.008614
                 142,            0.030836,            0.014225,           0.0081417,             0.93706,             0.92196,             0.94733,             0.65944,            0.029497,           0.0070685,           0.0034488,           0.0086041,           0.0086041,           0.0086041
                 143,            0.030608,            0.014374,           0.0067696,             0.92028,             0.91473,             0.95077,             0.65242,            0.030168,            0.007507,           0.0044602,           0.0085942,           0.0085942,           0.0085942
                 144,            0.030323,            0.013193,           0.0060583,             0.92817,             0.92562,               0.949,             0.68013,            0.030416,           0.0073341,           0.0024784,           0.0085843,           0.0085843,           0.0085843
                 145,            0.029982,            0.013746,           0.0048959,             0.91204,             0.92612,             0.94665,             0.68314,            0.029501,           0.0070465,           0.0026625,           0.0085744,           0.0085744,           0.0085744
                 146,            0.031286,            0.013898,           0.0070321,              0.8996,             0.93251,             0.93529,             0.67393,            0.030007,           0.0070846,           0.0019555,           0.0085645,           0.0085645,           0.0085645
                 147,            0.031498,            0.013058,           0.0071865,             0.90317,             0.92698,             0.94347,             0.66909,            0.030447,           0.0073244,           0.0020096,           0.0085546,           0.0085546,           0.0085546
                 148,            0.031342,            0.013617,           0.0081991,             0.90144,             0.94368,              0.9585,             0.67294,            0.030162,           0.0073322,           0.0024668,           0.0085447,           0.0085447,           0.0085447
                 149,            0.030408,            0.013475,           0.0060857,              0.9285,               0.891,             0.94887,               0.661,            0.030031,           0.0071603,           0.0041072,           0.0085348,           0.0085348,           0.0085348
                 150,            0.031348,            0.013521,           0.0064727,             0.92548,             0.87504,             0.93487,             0.63331,            0.030041,           0.0069483,           0.0033211,           0.0085249,           0.0085249,           0.0085249
                 151,            0.031255,            0.013814,           0.0066026,             0.91469,             0.92405,             0.93992,             0.69009,            0.029648,            0.007149,           0.0023468,            0.008515,            0.008515,            0.008515
                 152,            0.032455,            0.013691,           0.0062563,             0.91432,              0.9015,             0.93396,             0.66445,             0.03039,           0.0075037,            0.002826,           0.0085051,           0.0085051,           0.0085051
